1	送还	5
2	Ｌｅｎｏｖｏ	15
3	怀念	63
4	恳切	7
5	邦德森	2
6	穆斯塔法	15
7	辩驳	9
8	巴利安	3
9	徐海	67
10	矿砂	74
11	忿忿	3
12	ＨＤ６９８３０	3
13	送达	121
14	疏忽大意	7
15	退还	224
16	心机	6
17	结构性	671
18	矿石	584
19	应该	5526
20	怡富	2
21	遮羞布	7
22	造诣	21
23	Recovery	2
24	微机化	6
25	应试	61
26	短程	15
27	金坪	2
28	教授级	21
29	奥林奇县	4
30	应诉	354
31	追逐	114
32	卡西姆	4
33	并轨	140
34	Q195A-235A	2
35	返销	20
36	金坛	11
37	哈罗盖特	5
38	金坚	6
39	参政党	37
40	部王	2
41	应许	2
42	造访	71
43	卢卡雷利	6
44	10<100	2
45	忌日	2
46	建网	10
47	追述	2
48	法瑞尔	2
49	形状	136
50	砖瓦	50
51	心曲	4
52	ＫＤＤＩ	5
53	连轴转	2
54	砸烂	3
55	肯巴赫	3
56	年轻	1052
57	磁性	23
58	习近平	8
59	祖业	2
60	金地	63
61	银行业	1748
62	测绘局	28
63	年轮	4
64	祖上	2
65	庆贺	20
66	速记	2
67	下脚料	5
68	相面	2
69	飞天奖	2
70	每时每刻	6
71	省际	101
72	Ｒｅｐｏｒｔ	2
73	重型	443
74	配有	3
75	巴黎	1400
76	石磨	10
77	平车	6
78	团组织	23
79	快车道	76
80	德雷森	2
81	ＷｉＦｉ	31
82	通行证	130
83	易卜拉辛	5
84	ＳＡＦＲＡＮ	2
85	运销	143
86	STHK	2
87	实验室	1301
88	诺贝特	3
89	野地	3
90	带领	594
91	残羹剩饭	5
92	都灵	788
93	霍德克维采	2
94	心智	19
95	碑文	15
96	压力感	5
97	信得过	29
98	破烂	32
99	过问	20
100	通话	234
101	重地	9
102	过门	2
103	法兰克福	375
104	石碑	25
105	迷途	4
106	小天鹅	18
107	重在	5
108	矸石	54
109	担保费	16
110	弓箭	9
111	当班	23
112	无名指	10
113	直面	33
114	苗乐如	8
115	快慰	2
116	小家伙	27
117	强盛	39
118	库纳尔省	7
119	通许	2
120	布鲁	2
121	强盗	5
122	延缓	75
123	快慢	13
124	通讯	1434
125	ＴｒａｎｓＭｉｌｅｎｉｏ	2
126	麦克风	16
127	重围	12
128	遗落	2
129	专业班	2
130	态度	2063
131	德林	2
132	延绵	7
133	破灭	119
134	金器	3
135	Spirit	11
136	延续	844
137	徐汇	15
138	产品税	9
139	矿盐	8
140	忘掉	18
141	巨龙	18
142	平躺	7
143	阿列克谢耶夫	15
144	省长	562
145	相隔	69
146	弯矩	2
147	缔造者	17
148	MAPL	2
149	困难户	51
150	麦克雷尔	13
151	快感	8
152	师胜杰	2
153	Musan	4
154	珠穆朗玛峰	57
155	睡觉	138
156	快意	4
157	凡口矿	2
158	邮票	200
159	CHINA	2
160	莱斯利	18
161	绝经期	4
162	特内里费岛	2
163	阿拉维斯	6
164	社保	392
165	STAR	2
166	曲阜市	2
167	采地	4
168	选购	198
169	斯桑托斯	10
170	德望	2
171	工龄	18
172	径流	31
173	Ｊａｖｅ	2
174	过错	125
175	丢面子	2
176	逃跑	91
177	彩灯	81
178	德曼	2
179	恩公	2
180	忧愤	2
181	礼俗	5
182	辽阳	85
183	徒步	20
184	配方	238
185	长岗镇	3
186	砀山县	7
187	相间	39
188	忧愁	11
189	打硬仗	10
190	辽阔	41
191	宾西法尼亚	5
192	退路	23
193	配料	35
194	看得见	54
195	矗立	34
196	省钱	41
197	逃走	27
198	追踪	167
199	Abqaiq	2
200	博士后	128
201	恐吓	99
202	细胞系	83
203	盘香	2
204	ｇｏｏｇｌｅ	12
205	恼人	7
206	速滑赛	3
207	干路	13
208	弹痕	5
209	异类	19
210	利隆圭	2
211	外交辞令	2
212	酸性	38
213	边际	156
214	Ｃｏｎｔｒｏｌ	4
215	Refco	2
216	邻省	31
217	睡裤	2
218	短短	6
219	社会	27944
220	忧患	83
221	边防	340
222	德普	5
223	碱性	117
224	天兴洲	2
225	麦凯莱	4
226	磁带	34
227	帮闲	2
228	产油量	29
229	拉马略	3
230	幼豹	2
231	并购	2332
232	勃兰特	3
233	明细表	10
234	砂田	7
235	席间	10
236	脚步声	20
237	ＦＯＢ４５０	2
238	引种	19
239	退赔	5
240	序言	26
241	年资	20
242	睡袍	3
243	库西	2
244	微机	28
245	睡袋	19
246	送货	34
247	迫近	6
248	多功能	329
249	退赃	5
250	有所为	32
251	忻州	22
252	退费	4
253	忘我	16
254	．ＤｏＦａＬａ．	2
255	年货	138
256	革命性	64
257	礼仪	111
258	发报机	5
259	固定汇率制	9
260	退货	125
261	社交	98
262	弊端	254
263	强生	60
264	睡衣	9
265	宁河县	7
266	选调	17
267	追赶	117
268	酣战	2
269	选课	24
270	忧思	2
271	迪达	2
272	丘露薇	2
273	矿用	5
274	Ｏｐｎａ１．８	5
275	重唱	2
276	恶人	43
277	Ｒｏｃｋｅｆｅｌｌｅｒ	3
278	二○○三年	7
279	祁东	19
280	干货	17
281	新老交替	7
282	东阳镇	2
283	干贝	3
284	怯场	4
285	Airways	2
286	Ｍｏｔｏｒｉｔｉｅｓ	2
287	边长	4
288	德方	13
289	征求	826
290	庙街	2
291	盒饭	13
292	平安夜	64
293	迷路	15
294	德斯	4
295	直镇	4
296	ＦＯＢ４００	2
297	开篇	27
298	电信号	15
299	忧心	41
300	Ｚ６２	2
301	真迹	20
302	带队	51
303	ＹＴＮ	4
304	轰鸣	20
305	Ｋａｒｏｏ	2
306	开箱	4
307	德文	27
308	viktor	7
309	人民币	8854
310	Ｊａｉｌ	3
311	恶习	18
312	西尔维亚	4
313	Diesel	4
314	reflink	3
315	Ｚ４Ｍ	3
316	礼乐	2
317	公积金	717
318	伊拉克	5210
319	直销	473
320	普里斯特	8
321	圆括号	5
322	边锋	6
323	ＹＲＣ	3
324	水流量	6
325	芜湖县	2
326	德政	22
327	野味	7
328	绝缘层	10
329	苏格兰	242
330	基础理论	40
331	唐港区	4
332	逃课	7
